icode,Mment,IndentQty,ProductionQty,DespatchQty,BalanceQty,IndentValue,ProductionValue,DespatchValue,BalanceValue,sno
313,KGS,1035,1157,1148,-114,689660,771126,765586,-75926,371
28,KGS,356,2695,471,-115,230549,1745024,305011,-74462,372
83,KGS,1680,1795,1795,-115,1055746,1128453,1128195,-72449,373
4,KGS,569,692,690,-121,368490,447945,446657,-78167,374
26,KGS,1082,1207,1204,-123,700390,781361,779768,-79378,375
50,KGS,555,711,694,-139,359424,460172,449655,-90231,376
757,KGS,1685,1841,1826,-141,970375,1060162,1051575,-81201,377
22217,NOS,2761,0,2904,-143,234188,0,246317,-12129,378
18,KGS,663,835,837,-174,429430,541007,541959,-112529,379
20760,NOS,5820,0,5999,-179,332555,0,342783,-10228,380
2175,NOS,6963,6750,7143,-180,714961,693090,733443,-18482,381
22555,KGS,2909,3106,3092,-183,3490800,3726840,3710148,-219348,382
23,KGS,1331,1520,1517,-186,861775,984173,982334,-120559,383
36,KGS,402,619,605,-204,260015,401156,391908,-131892,384
22218,NOS,1700,0,1920,-220,166957,0,188563,-21606,385
236,NOS,1217,0,1483,-266,57954,0,70620,-12667,386
479,KGS,1877,2166,2156,-279,1701213,1962629,1953784,-252572,387
311,KGS,1237,1591,1593,-356,800815,1030607,1031649,-230834,388
23731,NOS,1086,0,1460,-374,29094,0,39113,-10019,389
245,KGS,4297,4748,4724,-427,2864638,3165335,3149455,-284817,390
76,KGS,2982,3484,3469,-487,2981500,3483880,3468650,-487150,391
7769,KGS,1762,2214,2306,-545,794243,998167,1039829,-245586,392
51,KGS,5234,5814,5793,-559,3389591,3765198,3751611,-362020,393
134,NOS,4785,5594,5514,-729,167475,195790,192990,-25515,394
95,KGS,3081,3804,3954,-873,1389327,1714960,1783013,-393686,395
8562,NOS,1447,0,2529,-1082,162788,0,284513,-121725,396
469,NOS,1819,0,2914,-1095,324819,0,520353,-195534,397
570,NOS,2428,0,3580,-1152,411522,0,606774,-195252,398
190,NOS,6468,7870,7835,-1367,485100,590250,587625,-102525,399
135,NOS,17130,18704,18560,-1430,770850,841680,835200,-64350,400
133,NOS,10450,12600,12600,-2150,318203,383670,383670,-65468,401
130,NOS,1006,0,3334,-2328,179641,0,595352,-415711,402
